store_name,sales_channel,source_file
微信视频号-安踏川渝运动商城,兴趣,映射.xlsx
抖音-安踏山东运动装备店,兴趣,映射.xlsx
理赔客户-安踏成人,其他,映射.xlsx
快手-安踏西北专卖店,兴趣,映射.xlsx
微信视频号-安踏北京大兴龙湖店,兴趣,映射.xlsx
抖音-安踏云南专卖店,兴趣,映射.xlsx
山东鲁岳体育产业有限公司,经销,映射.xlsx
得物直发-安踏山西专卖店,得物,映射.xlsx
抖音-安踏川渝服运动鞋专卖店,兴趣,映射.xlsx
微信视频号-厦门中山路安踏旗舰店,兴趣,映射.xlsx
得物-安踏儿童直发店,得物,映射.xlsx
快手-安踏武汉专卖店,兴趣,映射.xlsx
抖音-超级安踏上海专卖店,兴趣,映射.xlsx
视频号-安踏北京万达专卖店,兴趣,映射.xlsx
快手-安踏黄浦专卖店,兴趣,映射.xlsx
微信视频号-安踏北京PALACE专卖店,兴趣,映射.xlsx
抖音-长沙IFS安踏冠军店,兴趣,映射.xlsx
天猫-安踏顶点专卖店（新）,兴趣,映射.xlsx
微信视频号-泉州钟楼安踏PALACE 旗舰店,兴趣,映射.xlsx
抖音-安踏儿童上海专卖店,兴趣,映射.xlsx
微信视频号-安踏川渝形象店,兴趣,映射.xlsx
微信视频号-安踏之家总部旗舰店,兴趣,映射.xlsx
微信视频号-安踏西北运动商城,兴趣,映射.xlsx
快手-安踏杭州专卖店,兴趣,映射.xlsx
微信视频号-安踏儿童童装童鞋旗舰店,兴趣,映射.xlsx
抖音-超级安踏白云专卖店,兴趣,映射.xlsx
抖音-安踏儿童重庆专卖店,兴趣,映射.xlsx
抖音-安踏荔湾专卖店,兴趣,映射.xlsx
抖音-芜湖弋江区银泰专卖店,兴趣,映射.xlsx
微信视频号-安踏儿童运动总店,兴趣,映射.xlsx
重庆品唯电子商务有限公司-安踏成人,经销,映射.xlsx
