结算日期,单据类型,店铺名称,货号,销售数量,销售金额,吊牌金额
20260323,退货单,安踏大货唯品会,162547505N-2,-4,-917.341462,-1476.0000
20260323,退货单,安踏大货唯品会,912428052-2,-1,-142.902439,-249.0000
20260323,退货单,安踏大货唯品会,922518001Q-1,-12,-1908.0,-3228.0000
20260323,退货单,安踏大货唯品会,922538012-2,-3,-487.0,-1317.0000
20260323,退货单,安踏大货唯品会,922538042-6,-7,-632.0,-1743.0000
20260323,退货单,安踏大货唯品会,922548033-7,-9,-1534.170733,-3591.0000
20260323,退货单,安踏大货唯品会,922618099-3,-11,-1419.0,-2189.0000
20260323,退货单,安踏大货唯品会,962527125-2,-6,-410.341463,-594.0000
20260323,退货单,安踏大货唯品会,962537705-6,-12,-1218.4570629999998,-2868.0000
20260323,退货单,安踏大货唯品会,962546603-4,-25,-4814.707316,-11225.0000
20260323,退货单,安踏大货唯品会,962546603-6,-4,-760.0,-1796.0000
20260323,退货单,安踏大货唯品会,962617305-3,-2,-319.78684,-598.0000
20260323,退货单,拼多多-郑州安发安踏锋锐大货二店,922618099-3,-10,-1290.0,-1990.0000
20260323,退货单,抖音-安踏冠军官方旗舰店,152540618-4,-59,-56581.0,-70741.0000
20260323,退货单,天猫-ANTA SUPERSTORE旗舰店,192536111U-2,-2,-116.0,-198.0000
20260323,退货单,抖音-安踏泉州专卖2店,152617502S-4,-106,-28514.0,-35934.0000
20260323,退货单,抖音-安踏北京专卖2店,192628974D-1,-3,-177.0,-417.0000
20260323,换货单,天猫-安踏官方网店,112615583-4,2,958.0,1198.0000
20260323,换货单,天猫-安踏官方网店,922525537-3,3,529.75,1197.0000
20260323,换货单,抖音-安踏运动户外旗舰店,922615541-5,1,119.0,199.0000
20260323,换货单,拼多多-安踏旗舰店,962527313-3,1,125.99,239.0000
20260323,退货单,拼多多-安踏运动旗舰店,152448736U-3,-2,-154.38,-598.0000
20260323,退货单,拼多多-安踏运动旗舰店,962517310N-2,-3,-174.0,-597.0000
20260323,退货单,天猫-安踏官方网店,922525537-3,-4,-728.13,-1596.0000
20260323,退货单,天猫-安踏官方网店,922628804-4,-7,-1758.1499999999999,-2373.0000
20260323,退货单,天猫-安踏官方网店,952537701-3,-1,-140.36,-339.0000
20260323,退货单,天猫-安踏官方网店,952628303-1,-3,-422.03,-597.0000
20260323,退货单,抖音-安踏轻运动旗舰店,952547514-3,-7,-693.0,-1183.0000
20260323,退货单,抖音-安踏运动户外旗舰店,112545581-16,-1,-269.0,-499.0000
20260323,退货单,抖音-安踏官方旗舰店,922615520-2,-1,-269.0,-399.0000
20260323,退货单,快手-安踏体育旗舰店,912615556-1,-15,-3735.0,-7035.0000
20260323,退货单,拼多多-安踏旗舰店,112538898-1,-2,-583.0,-1198.0000
20260323,退货单,拼多多-安踏旗舰店,922535561-2,-10,-1280.0,-3990.0000
20260323,退货单,拼多多-安踏旗舰店,922615590F-2,-1,-299.0,-499.0000
20260323,退货单,拼多多-安踏安之昌专卖店,922615541-5,-4,-556.0,-796.0000
20260323,退货单,微信视频号-安踏运动服饰旗舰店,922515513-3,-5,-995.0,-1695.0000
20260323,退货单,安踏大货唯品会,112535593R-2,-2,-748.731708,-1198.0000
20260323,退货单,安踏大货唯品会,112618853-5,-2,-578.0,-798.0000
20260323,退货单,安踏大货唯品会,122525582R-1,-10,-2445.609756,-5990.0000
20260323,退货单,安踏大货唯品会,122535515-2,-15,-2392.82927,-5985.0000
20260323,退货单,安踏大货唯品会,152527304U-3,-1,-59.0,-99.0000
20260323,退货单,安踏大货唯品会,162448744U-1,-7,-414.0,-1393.0000
20260323,退货单,安踏大货唯品会,162517727-2,-3,-387.0,-1497.0000
20260323,退货单,安踏大货唯品会,172621313-2,-1,-245.243902,-299.0000
20260323,退货单,安踏大货唯品会,912545508-1,-1,-177.0,-399.0000
20260323,退货单,安踏大货唯品会,912545508-2,-4,-674.3303780000001,-1596.0000
20260323,退货单,安踏大货唯品会,922525522-3,-16,-1748.0,-4784.0000
20260323,退货单,安踏大货唯品会,922535513-1,-24,-3158.0,-7176.0000
20260323,退货单,安踏大货唯品会,922548831-1,-4,-810.390245,-1756.0000
20260323,退货单,安踏大货唯品会,952446602-8,-42,-9198.0,-46158.0000
20260323,退货单,安踏大货唯品会,952525103-1,-9,-701.0,-1071.0000
20260323,退货单,安踏大货唯品会,952537202-4,-6,-1268.0,-3294.0000
20260323,退货单,安踏大货唯品会,962448705-3,-6,-494.0,-2034.0000
20260323,退货单,安踏大货唯品会,962537304-2,-21,-2520.439023,-5019.0000
20260323,退货单,抖音-安踏上海专卖店,122618876U-1,-9,-2676.19,-3141.0000
20260323,退货单,拼多多-安踏旗舰店,1826114103-1,-3,-90.92,-207.0000
20260323,退货单,安踏大货唯品会,152448619U-6,-2,-468.487804,-998.0000
20260323,退货单,安踏大货唯品会,1825272582R-1,-1,-23.0,-39.0000
20260323,退货单,天猫-安踏官方网店,112525546-11,-2,-472.42,-798.0000
20260323,退货单,天猫-安踏官方网店,162547510-1,-1,-191.7,-299.0000
20260323,退货单,抖音-安踏官方旗舰店,152528121-6,-1,-128.0,-199.0000
20260323,退货单,天猫-ANTA SUPERSTORE旗舰店,192537392U-2,-1,-39.0,-39.0000
20260323,退货单,拼多多-安踏旗舰店,152527502-3,-6,-899.99,-1614.0000
20260323,退货单,安踏大货唯品会,122618034-4,-1,-279.0,-399.0000
20260323,退货单,抖音-安踏广州专卖店,922528002Q-2,-141,-22419.0,-37929.0000
20260323,换货单,拼多多-安踏旗舰店,952536504-3,2,251.8,678.0000
20260323,换货单,抖音-安踏云南专卖店,162627101D-2,1,133.87,199.0000
20260323,退货单,天猫-安踏官方网店,112525584-3,-4,-1902.42,-3196.0000
20260323,退货单,天猫-安踏官方网店,112617717RS-1,-10,-2365.2799999999997,-3990.0000
20260323,退货单,天猫-安踏官方网店,152620602-7,-4,-2883.34,-3196.0000
20260323,退货单,天猫-安踏官方网店,912531106-2,-1,-247.65,-549.0000
20260323,退货单,天猫-安踏官方网店,922627704Q-3,-8,-1724.7100000000003,-2712.0000
20260323,退货单,天猫-安踏官方网店,952617509-2,-1,-189.0,-369.0000
20260323,退货单,天猫-安踏官方网店,952617603-1,-13,-2940.98,-4797.0000
20260323,退货单,天猫-安踏官方网店,952627522-4,-8,-1065.56,-1592.0000
20260323,退货单,天猫-安踏官方网店,962535404-4,-11,-1403.04,-2409.0000
20260323,退货单,天猫-安踏官方网店,972618704-5,-11,-896.43,-1859.0000
